name,adress,phone,points in russian,points in computer science,points in mathematics,points in physics,social science,year of admission,major
Ларина Арина,"Орловская область, г.Дмитровск, ул.Центральная, д. 30",+7(931)-251-7455,61,63,64,40,64,2012,Математика
Кочергин Николай,"Брянская область, г.Фокино, ул.Октябрьская, д. 12",+7(966)-553-6445,57,48,56,81,79,2015,Математика
Васильева Мария,"Брянская область, г.Карачев, ул.Гагарина, д. 27",+7(924)-907-3904,55,68,39,58,94,2017,Прикладная информатика
Зотова Марина,"Брянская область, г.Дятьково, ул.Революции, д. 18",+7(923)-678-0686,62,93,69,63,92,2010,Педагогическое образование
Николаев Иван,"Орловская область, г.Мценск, ул.Гагарина, д. 11",+7(901)-848-7103,87,41,49,84,48,2020,Математика
Иванов Владислав,"Брянская область, г.Дятьково, ул.Октябрьская, д. 66",+7(995)-799-6971,70,77,60,46,65,2011,Прикладная математика и информатика
Ларина Лилия,"Брянская область, г.Карачев, ул.Октябрьская, д. 59",+7(989)-899-8165,92,50,87,83,78,2011,Прикладная математика и информатика
Николаев Федор,"Брянская область, г.Клинцы, ул.Октябрьская, д. 67",+7(918)-589-2193,70,69,94,76,68,2015,Педагогическое образование
Кочергин Роман,"г. Курск, ул.Революции, д. 52",+7(995)-018-5571,58,58,64,66,43,2019,Математика
Зотова Юлия,"г.Орёлул.Революции, д. 12",+7(908)-144-2061,90,81,85,41,40,2015,Физика
Ларина Алиса,"г. Курск, ул. Ленина, д. 46",+7(937)-084-9594,84,57,65,73,46,2013,Физика
Лозовский Иван,"Брянская область, г.Клинцы, ул.Революции, д. 30",+7(981)-735-0101,91,45,91,77,80,2014,Физика
Коровьев Иван,"г. Брянск, ул.Октябрьская, д. 8",+7(995)-800-1725,49,41,48,99,77,2020,Педагогическое образование
Лозовский Федор,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 62",+7(920)-200-3002,76,93,72,77,51,2011,Физика
Латышев Федор,"Орловская область, г.Болхов, ул. Ленина, д. 13",+7(992)-113-0479,77,61,97,40,61,2021,Педагогическое образование
Петров Олег,"Брянская область, г.Карачев, ул. Ленина, д. 8",+7(985)-645-3652,82,86,49,70,45,2016,Педагогическое образование
Чичиков Федор,"г. Курск, ул.Центральная, д. 48",+7(988)-668-9701,65,92,71,59,44,2017,Прикладная математика и информатика
Воронцова Марина,"г.Орёлул.Революции, д. 57",+7(921)-615-0858,59,45,59,78,98,2019,Прикладная математика и информатика
Зотова Алиса,"Орловская область, г.Ливны, ул.Октябрьская, д. 44",+7(989)-483-0620,92,80,98,63,80,2010,Физика
Николаев Сергей,"Орловская область, г.Ливны, ул.Революции, д. 32Й",+7(931)-212-6025,52,67,59,98,50,2015,Статистика
Мышкин Николай,"г.Орёлул.Октябрьская, д. 25",+7(909)-010-5320,89,78,39,63,39,2020,Прикладная информатика
Зотова Алиса,"г. Брянск, ул.Октябрьская, д. 60",+7(925)-375-1029,87,87,55,41,39,2016,Педагогическое образование
Панина Арина,"Орловская область, г.Мценск, ул.Центральная, д. 10Б",+7(977)-818-2539,40,78,91,70,64,2013,Педагогическое образование
Розова Анастасия,"Брянская область, г.Фокино, ул.Новая, д. 48",+7(922)-004-6265,42,50,54,61,76,2014,Прикладная информатика
Картамышев Лев,"Брянская область, г.Клинцы, ул.Революции, д. 1М",+7(933)-409-9111,81,60,45,71,80,2012,Педагогическое образование
Зотова Лилия,"Брянская область, г.Фокино, ул. Ленина, д. 31",+7(983)-014-3118,80,93,76,87,80,2013,Прикладная информатика
Орлова Дина,"Орловская область, г.Болхов, ул. Ленина, д. 40",+7(927)-757-6863,81,41,96,73,90,2010,Физика
Картамышев Сергей,"г. Курск, ул. Ленина, д. 57",+7(921)-661-2229,89,50,79,91,95,2017,Статистика
Коровьев Владимир,"Орловская область, г.Мценск, ул.Революции, д. 35О",+7(952)-326-0667,60,60,61,63,68,2011,Математика
Иванов Олег,"Брянская область, г.Дятьково, ул.Революции, д. 30",+7(936)-044-5893,59,74,99,85,79,2018,Статистика
Кочергин Лев,"Орловская область, г.Ливны, ул. Ленина, д. 9",+7(995)-839-7540,46,39,63,47,44,2015,Статистика
Муравьев Роман,"Орловская область, г.Дмитровск, ул.Новая, д. 1Э",+7(981)-744-1804,86,61,53,51,41,2019,Прикладная информатика
Платова Алисия,"Брянская область, г.Карачев, ул.Гагарина, д. 10",+7(964)-021-3000,57,57,45,44,86,2017,Педагогическое образование
